ct,ca,tiempo,tiempo_c
32, 100, 0.801205, 0.40068
64, 100, 0.815023, 0.398856
2, 100, 1.00922, 0.619342
4, 100, 0.779878, 0.387872
16, 100, 0.806972, 0.39286
32, 100, 0.793219, 0.40507
64, 100, 0.823351, 0.388274
2, 100, 1.01071, 0.474787
4, 100, 0.793089, 0.392368
16, 100, 0.794252, 0.389557
32, 100, 0.790634, 0.399734
64, 100, 0.806128, 0.411352
2, 100, 1.01007, 0.445763
4, 100, 0.779478, 0.385049
16, 100, 0.813764, 0.392396
32, 100, 0.787242, 0.394624
64, 100, 0.80101, 0.377723
2, 100, 1.02857, 0.449305
4, 100, 0.782383, 0.38687
16, 100, 0.788513, 0.396462
32, 100, 0.781539, 0.397652
64, 100, 0.8113, 0.396277
2, 100, 0.801146, 0.441691
4, 100, 0.778815, 0.38777
16, 100, 0.782029, 0.381271
32, 100, 0.842385, 0.420376
64, 100, 0.809256, 0.385298
2, 100, 0.997507, 0.445496
4, 100, 0.774986, 0.386175
16, 100, 0.794361, 0.393264
32, 100, 0.803189, 0.401858
64, 100, 0.805783, 0.386391
2, 100, 0.820763, 0.44858
4, 100, 0.779795, 0.387506
16, 100, 0.817453, 0.394513
32, 100, 0.795393, 0.402027
64, 100, 0.786846, 0.391917
2, 100, 1.00494, 0.594994
4, 100, 0.772737, 0.391033
16, 100, 0.786303, 0.383007
32, 100, 0.787398, 0.396558
64, 100, 0.817371, 0.390164
2, 100, 0.809409, 0.446234
4, 100, 0.78728, 0.391257
16, 100, 0.785517, 0.388388
32, 100, 0.801815, 0.402386
64, 100, 0.812907, 0.398256
2, 100, 0.808378, 0.449221
4, 100, 0.786639, 0.390865
16, 100, 0.775047, 0.391012
32, 100, 0.759963, 0.39988
64, 100, 0.80595, 0.387757
2, 100, 0.996499, 0.613301
4, 100, 0.786726, 0.387056
16, 100, 0.798865, 0.39762
32, 100, 0.797057, 0.403326
64, 100, 0.821269, 0.404212
2, 100, 0.796834, 0.459482
4, 100, 0.789106, 0.397426
16, 100, 0.810979, 0.38972
32, 100, 0.783369, 0.40494
64, 100, 0.849728, 0.393093
2, 100, 0.805402, 0.441994
4, 100, 0.780101, 0.390332
16, 100, 0.813144, 0.394383
32, 100, 0.797133, 0.405379
64, 100, 0.801479, 0.394921
2, 100, 1.01933, 0.572857
4, 100, 0.781273, 0.383367
16, 100, 0.800353, 0.389965
32, 100, 0.82739, 0.422712
64, 100, 0.830268, 0.388962
2, 100, 1.0084, 0.45012
4, 100, 0.77348, 0.380667
16, 100, 0.823139, 0.392939
32, 100, 0.78961, 0.4011
64, 100, 0.79902, 0.397236
2, 100, 1.00873, 0.444209
4, 100, 0.781402, 0.385577
16, 100, 0.82674, 0.398325
32, 100, 0.792436, 0.40517
64, 100, 0.752929, 0.390942
2, 100, 0.797898, 0.444565
4, 100, 0.782054, 0.388422
16, 100, 0.783679, 0.391907
32, 100, 0.806795, 0.404452
64, 100, 0.789588, 0.382402
2, 100, 0.81863, 0.442544
4, 100, 0.7765, 0.381125
16, 100, 0.805376, 0.395127
32, 100, 0.798685, 0.399411
64, 100, 0.804745, 0.38505
2, 100, 0.885042, 0.448609
4, 100, 0.791616, 0.392005
16, 100, 0.79045, 0.389994
32, 100, 0.806773, 0.402979
64, 100, 0.7776, 0.386003
2, 100, 0.807302, 0.450417
4, 100, 0.775682, 0.386088
16, 100, 0.809605, 0.390141
32, 100, 0.782917, 0.404917
64, 100, 0.808667, 0.39986
2, 100, 1.00975, 0.467182
4, 100, 0.774709, 0.387778
16, 100, 0.768317, 0.3884
32, 100, 0.79556, 0.39948
64, 100, 0.80042, 0.390699
2, 100, 0.801112, 0.446153
4, 100, 0.776815, 0.389071
16, 100, 0.803747, 0.38969
32, 100, 0.788011, 0.403011
64, 100, 0.797396, 0.389865
2, 100, 1.02838, 0.453257
4, 100, 0.780884, 0.383091
16, 100, 0.780646, 0.393294
32, 100, 0.775394, 0.398395
64, 100, 0.811728, 0.387421
2, 100, 1.02512, 0.448515
4, 100, 0.781425, 0.385271
16, 100, 0.818244, 0.38745
32, 100, 0.78958, 0.401807
64, 100, 0.82393, 0.401245
2, 100, 0.816709, 0.453712
4, 100, 0.769335, 0.381963
16, 100, 0.795995, 0.389192
32, 100, 0.803757, 0.405714
64, 100, 0.802014, 0.383407
2, 100, 0.797882, 0.639336
4, 100, 0.776336, 0.381689
16, 100, 0.807459, 0.386964
32, 100, 0.793952, 0.397053
64, 100, 0.78178, 0.461322
2, 100, 0.997879, 0.444413
4, 100, 0.779608, 0.380969
16, 100, 0.782917, 0.38898
32, 100, 0.7869, 0.404803
64, 100, 0.771532, 0.393635
2, 100, 1.00476, 0.446984
4, 100, 0.776521, 0.376401
16, 100, 0.790737, 0.383321
32, 100, 0.773325, 0.401147
64, 100, 0.789119, 0.391803
